model,dataset,seed,corruption,s1,s2,s3,s4,s5,mean
baseline_res18,cifar100,17,gaussian_noise,51.01,40.32,30.99,26.05,22.84,34.242
baseline_res18,cifar100,17,shot_noise,55.45,50.01,37.53,32.37,25.25,40.122
baseline_res18,cifar100,17,impulse_noise,53.84,44.38,35.07,21.88,14.1,33.854
baseline_res18,cifar100,17,defocus_blur,61.99,59.26,54.28,47.72,37.53,52.156
baseline_res18,cifar100,17,glass_blur,36.65,36.95,40.05,27.69,29.35,34.138
baseline_res18,cifar100,17,motion_blur,56.4,50.4,44.43,44.31,38.75,46.858
baseline_res18,cifar100,17,zoom_blur,53.64,51.54,48.35,45.37,40.72,47.924
baseline_res18,cifar100,17,snow,56.69,47.37,47.58,44.13,40.92,47.338
baseline_res18,cifar100,17,frost,56.28,51.16,43.64,42.9,36.51,46.098
baseline_res18,cifar100,17,fog,60.97,56.58,51.78,45.71,30.1,49.028
baseline_res18,cifar100,17,brightness,61.8,60.63,59.19,57.18,51.33,58.026
baseline_res18,cifar100,17,contrast,60.39,52.07,45.68,36.38,15.39,41.982
baseline_res18,cifar100,17,elastic_transform,54.17,54.07,50.95,47.97,44.98,50.428
baseline_res18,cifar100,17,pixelate,59.73,54.48,51.64,42.3,28.2,47.27
baseline_res18,cifar100,17,jpeg_compression,56.35,52.87,51.29,49.33,47.68,51.504
baseline_res18,cifar10,17,gaussian_noise,78.26,68.24,56.73,50.51,45.65,59.878
baseline_res18,cifar10,17,shot_noise,81.62,76.59,64.02,58.62,49.29,66.028
baseline_res18,cifar10,17,impulse_noise,80.82,74.25,66.33,49.05,34.61,61.012
baseline_res18,cifar10,17,defocus_blur,85.83,84.25,79.31,71.2,56.04,75.326
baseline_res18,cifar10,17,glass_blur,53.11,54.45,58.34,43.06,45.61,50.914
baseline_res18,cifar10,17,motion_blur,80.28,72.19,64.55,64.11,57.0,67.626
baseline_res18,cifar10,17,zoom_blur,78.1,75.54,71.13,66.18,59.18,70.026
baseline_res18,cifar10,17,snow,80.78,69.47,72.43,69.94,65.8,71.684
baseline_res18,cifar10,17,frost,82.23,77.2,67.92,66.79,58.13,70.454
baseline_res18,cifar10,17,fog,85.39,82.96,79.46,74.45,56.99,75.85
baseline_res18,cifar10,17,brightness,86.14,85.62,85.05,84.14,80.99,84.388
baseline_res18,cifar10,17,contrast,84.77,77.71,70.76,57.28,28.08,63.72
baseline_res18,cifar10,17,elastic_transform,79.92,79.79,76.71,72.29,68.46,75.434
baseline_res18,cifar10,17,pixelate,83.83,79.85,76.87,67.02,51.18,71.75
baseline_res18,cifar10,17,jpeg_compression,82.11,79.39,78.51,77.35,75.07,78.486
baseline_res50,cifar100,17,gaussian_noise,47.19,38.38,29.27,24.84,22.06,32.348
baseline_res50,cifar100,17,shot_noise,52.36,47.22,35.1,30.62,24.06,37.872
baseline_res50,cifar100,17,impulse_noise,50.73,41.9,33.29,21.62,15.23,32.554
baseline_res50,cifar100,17,defocus_blur,57.41,54.63,48.85,43.11,33.0,47.4
baseline_res50,cifar100,17,glass_blur,36.53,37.16,39.4,29.03,30.72,34.568
baseline_res50,cifar100,17,motion_blur,51.85,46.35,40.88,40.26,35.71,43.01
baseline_res50,cifar100,17,zoom_blur,49.7,47.56,44.46,40.93,36.93,43.916
baseline_res50,cifar100,17,snow,53.48,44.59,45.76,41.32,36.8,44.39
baseline_res50,cifar100,17,frost,51.76,46.03,39.16,38.42,31.81,41.436
baseline_res50,cifar100,17,fog,56.42,50.02,44.83,37.18,22.99,42.288
baseline_res50,cifar100,17,brightness,57.97,56.85,54.59,51.81,45.14,53.272
baseline_res50,cifar100,17,contrast,55.19,43.66,36.25,26.56,10.25,34.382
baseline_res50,cifar100,17,elastic_transform,49.66,49.4,45.93,44.23,42.12,46.268
baseline_res50,cifar100,17,pixelate,56.56,52.56,51.2,44.87,34.23,47.884
baseline_res50,cifar100,17,jpeg_compression,52.98,49.9,49.17,47.6,45.53,49.036
baseline_res50,cifar10,17,gaussian_noise,77.47,66.7,52.75,45.24,39.69,56.37
baseline_res50,cifar10,17,shot_noise,81.62,75.93,62.29,55.46,44.47,63.954
baseline_res50,cifar10,17,impulse_noise,81.82,75.93,68.65,50.49,33.4,62.058
baseline_res50,cifar10,17,defocus_blur,86.18,83.81,78.14,68.48,51.01,73.524
baseline_res50,cifar10,17,glass_blur,48.79,50.74,55.06,38.72,42.83,47.228
baseline_res50,cifar10,17,motion_blur,79.54,70.28,62.19,61.78,54.19,65.596
baseline_res50,cifar10,17,zoom_blur,76.55,73.45,68.43,62.58,55.43,67.288
baseline_res50,cifar10,17,snow,79.98,68.59,72.03,68.29,63.92,70.562
baseline_res50,cifar10,17,frost,81.62,75.07,66.94,66.1,56.14,69.174
baseline_res50,cifar10,17,fog,85.9,82.96,79.43,74.54,56.04,75.774
baseline_res50,cifar10,17,brightness,86.29,85.81,84.48,83.47,80.07,84.024
baseline_res50,cifar10,17,contrast,84.98,77.66,70.85,57.93,29.97,64.278
baseline_res50,cifar10,17,elastic_transform,78.83,79.06,75.11,69.77,65.99,73.752
baseline_res50,cifar10,17,pixelate,83.63,79.09,75.33,62.72,45.92,69.338
baseline_res50,cifar10,17,jpeg_compression,81.88,79.21,77.74,76.09,73.64,77.712
shape_res18,cifar100,17,gaussian_noise,53.51,44.23,35.39,31.48,28.24,38.57
shape_res18,cifar100,17,shot_noise,57.73,52.9,42.14,36.74,31.43,44.188
shape_res18,cifar100,17,impulse_noise,52.09,42.29,33.01,21.85,14.98,32.844
shape_res18,cifar100,17,defocus_blur,62.16,60.14,57.34,53.8,43.5,55.388
shape_res18,cifar100,17,glass_blur,43.54,44.23,45.61,31.71,33.44,39.706
shape_res18,cifar100,17,motion_blur,58.47,53.97,48.44,48.39,43.5,50.554
shape_res18,cifar100,17,zoom_blur,56.77,55.8,53.6,51.18,47.4,52.95
shape_res18,cifar100,17,snow,58.17,51.76,49.21,45.46,43.45,49.61
shape_res18,cifar100,17,frost,58.25,52.81,47.22,46.33,41.08,49.138
shape_res18,cifar100,17,fog,61.0,55.28,48.91,39.49,23.18,45.572
shape_res18,cifar100,17,brightness,62.14,60.98,58.83,56.54,50.53,57.804
shape_res18,cifar100,17,contrast,60.39,52.34,46.22,37.99,21.77,43.742
shape_res18,cifar100,17,elastic_transform,55.77,56.28,54.41,49.7,43.62,51.956
shape_res18,cifar100,17,pixelate,61.26,59.85,59.47,56.72,52.46,57.952
shape_res18,cifar100,17,jpeg_compression,55.79,53.02,51.2,50.41,49.05,51.894
shape_res18,cifar10,17,gaussian_noise,83.89,78.91,72.94,69.41,65.72,74.174
shape_res18,cifar10,17,shot_noise,85.37,83.41,76.79,73.26,67.84,77.334
shape_res18,cifar10,17,impulse_noise,82.94,78.7,73.43,62.46,51.69,69.844
shape_res18,cifar10,17,defocus_blur,85.84,83.81,80.08,75.37,65.05,78.03
shape_res18,cifar10,17,glass_blur,73.47,74.52,75.23,61.41,64.33,69.792
shape_res18,cifar10,17,motion_blur,81.14,75.98,69.31,69.65,63.69,71.954
shape_res18,cifar10,17,zoom_blur,79.67,78.12,75.13,72.58,68.19,74.738
shape_res18,cifar10,17,snow,83.99,78.96,77.68,73.52,73.29,77.488
shape_res18,cifar10,17,frost,84.22,80.46,75.58,75.75,70.3,77.262
shape_res18,cifar10,17,fog,85.25,81.62,76.23,67.59,46.79,71.496
shape_res18,cifar10,17,brightness,86.12,85.58,84.82,83.68,80.85,84.21
shape_res18,cifar10,17,contrast,85.37,79.27,74.44,68.22,52.64,71.988
shape_res18,cifar10,17,elastic_transform,80.7,80.48,77.58,72.99,69.6,76.27
shape_res18,cifar10,17,pixelate,85.52,84.11,83.42,80.78,76.52,82.07
shape_res18,cifar10,17,jpeg_compression,84.24,82.22,81.54,80.68,79.65,81.666
shape_res50,cifar100,17,gaussian_noise,56.46,49.83,41.12,36.67,32.55,43.326
shape_res50,cifar100,17,shot_noise,59.38,56.43,47.83,43.52,35.68,48.568
shape_res50,cifar100,17,impulse_noise,55.62,47.64,38.94,26.95,18.72,37.574
shape_res50,cifar100,17,defocus_blur,62.02,59.87,56.96,53.32,43.76,55.186
shape_res50,cifar100,17,glass_blur,45.29,46.29,47.03,34.68,35.94,41.846
shape_res50,cifar100,17,motion_blur,58.31,54.22,48.77,48.76,44.28,50.868
shape_res50,cifar100,17,zoom_blur,56.34,55.29,52.61,50.63,47.2,52.414
shape_res50,cifar100,17,snow,58.57,52.99,50.62,46.69,43.4,50.454
shape_res50,cifar100,17,frost,57.88,51.98,45.49,45.05,40.35,48.15
shape_res50,cifar100,17,fog,60.01,53.63,46.5,38.17,21.3,43.922
shape_res50,cifar100,17,brightness,61.97,60.67,58.7,55.92,48.75,57.202
shape_res50,cifar100,17,contrast,59.91,49.72,42.51,33.42,15.98,40.308
shape_res50,cifar100,17,elastic_transform,55.44,56.28,54.68,49.62,43.86,51.976
shape_res50,cifar100,17,pixelate,61.32,60.31,59.75,57.22,54.3,58.58
shape_res50,cifar100,17,jpeg_compression,57.14,53.9,52.95,52.29,50.32,53.32
shape_res50,cifar10,17,gaussian_noise,82.54,79.05,73.63,70.43,67.94,74.718
shape_res50,cifar10,17,shot_noise,84.18,82.61,77.21,74.39,69.4,77.558
shape_res50,cifar10,17,impulse_noise,81.97,78.0,72.97,63.16,53.87,69.994
shape_res50,cifar10,17,defocus_blur,84.84,83.56,81.41,78.18,68.31,79.26
shape_res50,cifar10,17,glass_blur,73.38,73.58,73.6,63.5,63.41,69.494
shape_res50,cifar10,17,motion_blur,81.91,75.96,69.63,70.2,63.49,72.238
shape_res50,cifar10,17,zoom_blur,80.1,79.2,76.91,74.38,70.26,76.17
shape_res50,cifar10,17,snow,82.19,77.21,75.91,71.37,69.3,75.196
shape_res50,cifar10,17,frost,81.15,76.75,70.67,70.86,65.29,72.944
shape_res50,cifar10,17,fog,84.1,78.74,72.51,62.74,42.25,68.068
shape_res50,cifar10,17,brightness,84.55,83.79,82.78,80.85,76.12,81.618
shape_res50,cifar10,17,contrast,82.82,74.61,69.63,63.77,51.55,68.476
shape_res50,cifar10,17,elastic_transform,80.12,80.11,78.16,73.94,69.79,76.424
shape_res50,cifar10,17,pixelate,84.25,83.56,83.26,81.88,78.97,82.384
shape_res50,cifar10,17,jpeg_compression,83.2,81.49,81.11,80.58,78.9,81.056
baseline_res18,cifar100,23,gaussian_noise,51.71,42.09,32.69,27.76,24.52,35.754
baseline_res18,cifar100,23,shot_noise,56.52,50.47,38.47,34.01,26.97,41.288
baseline_res18,cifar100,23,impulse_noise,54.68,44.43,35.77,23.46,16.17,34.902
baseline_res18,cifar100,23,defocus_blur,61.52,58.91,53.95,48.08,36.98,51.888
baseline_res18,cifar100,23,glass_blur,37.93,39.12,41.27,28.13,30.45,35.38
baseline_res18,cifar100,23,motion_blur,55.93,50.05,43.98,43.68,38.29,46.386
baseline_res18,cifar100,23,zoom_blur,53.08,51.52,48.04,44.62,39.95,47.442
baseline_res18,cifar100,23,snow,57.2,49.34,48.93,46.17,43.26,48.98
baseline_res18,cifar100,23,frost,57.37,52.24,45.11,43.99,37.39,47.22
baseline_res18,cifar100,23,fog,60.67,56.12,51.62,45.05,30.08,48.708
baseline_res18,cifar100,23,brightness,61.47,60.35,58.89,56.7,51.2,57.722
baseline_res18,cifar100,23,contrast,60.02,52.09,45.6,35.67,13.73,41.422
baseline_res18,cifar100,23,elastic_transform,53.22,53.42,50.76,47.32,44.96,49.936
baseline_res18,cifar100,23,pixelate,59.9,54.81,52.33,41.37,28.92,47.466
baseline_res18,cifar100,23,jpeg_compression,56.36,53.2,51.71,50.23,47.89,51.878
baseline_res18,cifar10,23,gaussian_noise,81.58,74.57,64.14,59.13,54.11,66.706
baseline_res18,cifar10,23,shot_noise,84.35,81.15,70.81,65.73,57.1,71.828
baseline_res18,cifar10,23,impulse_noise,81.69,75.77,69.04,54.58,41.73,64.562
