model,dataset,seed,clean_acc,mCA,mCE
baseline_res18,cifar100,17,62.37,45.3979,54.6021
baseline_res18,cifar10,17,86.24,69.5051,30.4949
baseline_res50,cifar100,17,58.17,42.0416,57.9584
baseline_res50,cifar10,17,86.57,68.0421,31.9579
shape_res18,cifar100,17,62.56,48.1245,51.8755
shape_res18,cifar10,17,86.53,75.8877,24.1123
shape_res50,cifar100,17,62.61,48.9129,51.0871
shape_res50,cifar10,17,84.92,75.0399,24.9601
baseline_res18,cifar100,23,62.26,45.7581,54.2419
baseline_res18,cifar10,23,86.66,71.5421,28.4579
baseline_res50,cifar100,23,58.67,43.6569,56.3431
baseline_res50,cifar10,23,85.39,69.1764,30.8236
shape_res18,cifar100,23,62.24,47.7935,52.2065
shape_res18,cifar10,23,86.44,76.2255,23.7745
shape_res50,cifar100,23,62.46,48.6075,51.3925
shape_res50,cifar10,23,84.75,74.568,25.432
baseline_res18,cifar100,42,62.49,45.7,54.3
baseline_res18,cifar10,42,86.03,69.4232,30.5768
baseline_res50,cifar100,42,60.82,41.8257,58.1743
baseline_res50,cifar10,42,86.81,69.8093,30.1907
shape_res18,cifar100,42,62.59,47.9127,52.0873
shape_res18,cifar10,42,86.34,75.7932,24.2068
shape_res50,cifar100,42,62.14,48.5389,51.4611
shape_res50,cifar10,42,84.57,74.8676,25.1324
