Corruption,ResNet-18,Shape-ResNet-18,ResNet-50,Shape-ResNet-50,ResNet-101,Shape-ResNet-101
Gaussian noise,62.39±3.75,72.95±1.07,59.16±2.48,75.35±0.55,,
Shot noise,68.11±3.23,76.47±0.77,65.81±1.70,78.03±0.41,,
Impulse noise,61.94±2.31,69.02±0.74,62.72±0.64,70.76±0.66,,
Defocus blur,75.33±0.12,79.30±1.10,74.36±1.09,78.71±0.65,,
Glass blur,52.32±3.03,69.69±0.50,50.36±3.21,69.36±0.43,,
Motion blur,67.39±0.23,73.69±1.55,66.81±1.06,72.13±0.09,,
Zoom blur,70.09±0.52,76.31±1.36,69.14±1.62,75.85±0.66,,
Snow,72.71±1.55,77.18±0.31,70.91±0.34,75.14±0.08,,
Frost,71.28±1.83,76.95±0.45,69.61±0.57,73.17±0.29,,
Fog,75.60±0.62,71.96±0.51,75.45±1.72,66.93±1.00,,
Brightness,84.18±0.19,84.17±0.20,83.62±1.20,81.38±0.23,,
Contrast,64.12±0.81,71.20±0.92,63.00±2.20,66.69±1.55,,
Elastic,75.27±0.18,77.18±0.80,74.52±0.72,75.76±0.62,,
Pixelate,72.52±2.41,82.04±1.00,71.63±2.20,82.16±0.21,,
JPEG,79.11±0.96,81.42±0.27,78.03±0.30,80.96±0.21,,
